PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2007-05177,2007/04/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-11132,2007/07/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03597,2007/03/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05179,2007/04/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03835,2007/03/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00884,2007/01/25,Demolition,Demolition,1406 - Duplex (Up/Down),Two Family,Residential,Demolition,
BP2007-13730,2007/08/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04643,2007/04/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-19398,2006/11/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-15021,2007/09/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-02919,2007/03/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18419,2006/10/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05398,2007/04/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-19506,2006/11/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-15642,2007/10/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00227,2007/01/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-12523,2007/08/13,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2007-07867,2007/05/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04135,2007/04/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03104,2007/03/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-14061,2007/09/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-11591,2007/07/26,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2007-07270,2007/05/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
